child	children
man	men
woman	women
tooth	teeth
goose 	geese
foot	feet
ox	oxen
fish	fish
species	species
series	series
sheep	sheep
salmon	salmon
bison	bison
buffalo	buffalo
brother	bretheren
formula	formulae
antenna	antennae
automaton	automata
schema	schema
son-in-law	sons-in-law
father-in-law	fathers-in-law
sister-in-law	sisters-in-law
mother-in-law	mothers-in-law
daughter-in-law	daughters-in-law
passerby	passersby
attorney-general	attorneys-general
deer	deer
moose	moose
reindeer	reindeer
wood	wood
rice	rice
oats	oats
furniture	furniture
equipment	equipment
person	people
dice	die
fungus	fungii
radius	radii
focus	foci
locus	loci
nucleus	nuclei
cactus	cacti
alumnus	alumni
alumna	alumnae
criterion	criteria
phenomenon	phenomena
atrium	atria
stadium	stadia
maximum	maxima
minimum	minima
stratum	strata
curriculum	curricula
memorandum	memoranda
datum	data
bacterium	bacteria
magnum	magna
index	indices
vortex	vortices
appendix	appendices
axis	axes
matrix	matrices
memorabile	memorabilia
spectrum	spectra
addendum	addenda
agendum	agenda
millenium	millenia
referendum	referenda
medium	media
mouse	mice
louse	lice
dormouse	dormice
genus	genera
ovum	ova
corpus	corpora
larva	larvae
minutia	minutiae
militia	militiae
stimulus	stimuli
quiz	quizzes
shrimp	shrimp
trout	trout
grouse	grouse
nebula	nebulae
erratum	errata
graffito	graffiti
offspring	offspring
symposium	symposia
vita	vitae
policeman	policemen
postman	postmen
peas	peas
oil	oil
aircraft	aircraft
barracks	barracks
apex	apices
chateau	chateaux
swine	swine
vertex	vertices
conman	conmen
factum	facta
dictum	dicta
